,0
37,"“When someone shows you who they are, believe them the first time.” Right @GovStitt?

https://t.co/RluambbuHN"
38,"✨ Stolen Kiss

sebhersey would kiss you around the corner... 😏
And you, who would do it?

➡️ https://t.co/a2ZVqSGIOs https://t.co/fYOsJtqBUS"
39,"@JustinCarterW @Amalutmani @JustinTrudeau @francoislegault @jjhorgan @fordnation @FureyAndrew And yes, I’m frustrated with people like you, who just want to blame Justin for taking care of Canadians while giving conservative premiers like kenney and Ford a free pass"
40,@NPR Same thing with so many cases. It’s you who don’t cover it so maybe start covering your or learning from the independent reporters that do.
41,Ohh ahhh look at you who claimed to be not sexually interested in no genders. Ohh ahh look at you now. How does it feels? Sweet like honey. Smooth like butter. Get it let it roll~
42,@amyphanwest Good luck. We need more people like you who understand what it's like where we are headed.
43,"when someone tells you who they are, believe it and Joe Biden has been telling us who he is for over 40 years now

If you thought ""nothing will fundamentally change""  would be positive,  then you seriously have no business purporting to gaf about anything but the bottom line"
44,@dreamingkass Nobody cares it’s not you who’s making the games.
45,@ElijahKyama We all remind you who’s on the wheel😂#Ole
46,@bUrNtOuT32 @Conserv11190902 @CodyIsAGoodBoy @DonaldJTrumpJr If it’s so effective and so great then me not having it shouldn’t effect you. Also you’re missing the point here bud. If I had the virus I do not need the vaccine because you who’s vaccinated and me who’s had the virus both have the same antibodies. Dummy.
47,"[Giveaway]

🏖 ""catlandia"" is open 🏖
Come get some DIYs or items you don’t have! Please be mindful of others behind you who want some too.

Shops are open, f...

Join here 👉 https://t.co/tupbzL97d3

#ACNH #ACNHgiveaway #ACNHtrade"
48,i’m a sophomore in college who has alot of labs to conduct and report and a coding class that takes up me whole weekend but yet and still i take the time out my day to stream and maintain a’s and high b’s unlike you who is projecting https://t.co/pZT51QmBsa
49,@valensrutagengw @OtimMichael @aimarulinda @brendamutesi3 @LucyHockingsBBC @ckanimba @BBCWorld @freethehero @ahbobin @shinani1 @DavidHimbara @JudiRever @AnaiseKanimba @kittykurth @JaynieMarie See how many people calling his freedom and How many are you who want to deny his rights then come back with your research.
50,@kimmybtw you think you who
51,"@BusyElonMusk @HogeFinance @HogeMarketing is that you who put hundreds of hours of work for free to improve hoge project token?
doesn't seems like
who are you and what have you done for this community project?
where is your value in this project?
what is your purpose?
bitching isn't a purpose in a community project."
52,"@JeffTheGK @thegkonline Galatians 6:1a
Brethren, even if anyone is caught in any trespass, you who are spiritual, restore such a one in a spirit of gentleness;"
53,"@ZorroTheAvenger @AliBeckZeck Says you who got 2 ""experimental jabs"" and has no clue what's in the jab. You got those longitudinal studies for the safe and effective jab. Nope cuz there isn't any. You know what was in that jab? Nope you have no clue. But you have ""been assimilated"""
54,"Jika tidak ingin disakiti orang lain, jangan beri atau terima apapun (You Who Come From The Star)"
55,"I've said it before and I'll say it again. Susan 👏 fucking 👏 Collins. Or . . . when someone shows you who they are the first, second, and third time, believe them. #SusanCollinsIsAHypocrite https://t.co/k0A8CKpCuD"
56,"For you who are sad to read the Bible's description of #animal #sacrifices.
#Jesus brought complete #peace to the present day on the cross. So you never have to kill #animals with human hands forever.
Today the animals are our friends!
#Bible #Vegan #vegetarian #Love #Sacrifice"
57,"✨ Stolen Kiss

lixpetistt would kiss you around the corner... 😏
And you, who would do it?

➡️ https://t.co/pnVmhOk0dc https://t.co/e1WjOB0Uvn"
58,"@colinbrazierGBN *“Racist” remarks. 

But wasn’t it you who put Ezra Levant on TV? You seem to like racists."
59,"I know I am in no position to say anything right now, but still, let me say this— What do you even know about Doppo?! He tries his best with his life! And yet, you, who knows nothing is running his mouth… I don’t want to hear it!"
60,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year shivxnr 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/AlkA5RGi9P https://t.co/6Kkz1kj5Hq"
61,"you who swallowed a falling star, o heartless man, your heart shall soon be mine."
62,"@GovPritzker You are friends w educators. Have you asked why schools teach that USA is a horrible place? 

Do you want to right wrongs &amp; improve outcomes in actuality? #Illlinois If not you, who?

I've tried to speak to you for yrs. I've seen how schools are up close. Ru there?"
63,"@Nathan__Dee its people like you who are snakes, defending the oppressors and turning against those fighting for you. What is special about Afrikaans? The most spoken native language is Zulu followed by Xhosa so what is special about Afrikaans not San?"
64,@themartyrcard Was it you who told me to watch it?!!
65,i really wish IG told you who be sending your posts to people 😂
66,"You who swallowed a falling star, oh heartless man. Your heart shall soon belong to me."
67,"@ThomsenTN @djuggler @timburchett @GovBillLee I love Nashville, and Tennessee. That's why I find political operatives like you, who think that big business growth and people moving here is more important than the suffering endured by more than one in ten of our citizens so gross. If we're well governed, why is it a problem?"
68,@thehill True colors on display.  Belive her when she shows you who she is.
69,"@RonFilipkowski When someone tells you who they are, believe them!"
70,@kk131066 Your Watching 👀👀👀👆Facts PPL 👆”Let’s If You Agree PLZ Share What You Just 👀👀👀Ed With EveryOne PLZ???THKU To All Of You Who 👀👀👀Ed This Videoclip👆‼️‼️‼️‼️
71,@alisa2s @TheTxPundit @ZJustzed Oh but honey it'll be you who stays home. What happens when you can't go into a grocery store sans a negative test or vaccine card?
72,"@John_msee @ztlorance @TheRobotBuddha @KLWalpole14 @Schreiberland No, the proof is on you to explain your fanciful conclusions. Not on me saying your talking nonsense but on you who believe such unprovable silly dreamy bullshit."
73,"""If not you, who? If not now, when?""
I don't know. Someone else. Later. Hey, you asked!"
74,ayoooo the new update tells you who visited your profile 🤭
75,"Be aroud people who believes in your dreams, who encourages you, who lift you higher It makes you want to push yourself more. It feels good to have that “cheerleader” someone who has our back."
76,"When someone shows you who they are, believe them. 🤷🏻‍♀️"
77,@theh1d Was it you who did the pissing?
78,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year Lan9i3 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/lofooTXZD8 https://t.co/b6grsKPWgJ"
79,@1MohamedOmar @MofaSomalia Do they  told  to you who  kil you father bos
80,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year iOSAMUB0T 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/SJFr37VuyA https://t.co/aWlcyfchLv"
81,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year tehreenao 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/qQTrG2iC8x https://t.co/ELninsyUKv"
82,"I want to try that effect that tells you who you look like, only fr it to tell me I look like sloth from the goonies, you guys know what that effect is?"
83,"The best leaders aren’t the ones constantly reminding you who they are. They aren’t the ones always looking for photo ops, talking the loudest/most, seeking out opps to be seen instead of leading. Being a leader isn’t about everyone (esp outside of your org) knowing who you are."
84,"Chasing perfection isn't the goal, your growth journey is about pursuing the woman that lives inside you who is waiting to be discovered. You're going after her.  
She's worth it.✨

#confidenceforwomen #confidentwomen #confidencecoaching #confidentwomenglow
#confidencemindset"
85,"@andy_murray Nobody told you your service was a few strokes ""above par"" before? Great coaching!?!? Or was it you who was too stubborn to change it? Well, it's never too late to learn. But it would have made some difference if you'd given it some attention ""a few days earlier""."
86,"@luvyouneighbor @johnpavlovitz Cuz folks like you always stop  reading Romans too soon:
2 You, therefore, have no excuse, you who pass judgment on someone else, for at whatever point you judge another, you are condemning yourself, because you who pass judgment do the same things."
87,"@DaZacklol 

""You who tf-"""
88,@JaksMimi2 Emma ! Love and prayers for you. Sister ! 🙏🙏❤️❤️You are brave and strong ! You have the Lord with you who keep you strong in Him !
89,"@jeaniew333 @Kokomothegreat No I was saying that about you who were willing to jump off a cliff because someone told you to cherish the life that you have, as opposed to looking forward to something that doesn't exist. The survival of the fittest comment was to you, specifically. Lemming."
90,@Emsrsue tis YOU who are sweet😘😘😘
91,@ItsBradShepard One of the real issues with dealing with actual racism in this country are idiots like you who use the racism card as some kind of weapon. You don't like AEW so this is your latest sword
92,"“But for you who fear My Name, the Sun of Righteousness will rise with healing in His wings. And you will go free, leaping with joy like calves let out to pasture. ~ Malachi 4:2 NLT https://t.co/OVvgnQyzda"
93,"If not Now, When? 
If not you, Who?"
94,@Lotu5__ But like what’s wrong with ppl seeing you who gives a fuck what they think!!! wat is it that y’all do not want to be seen??
95,"@Snixtysnixt Everyone got their own preferences, and that is cool. But loool why generalise when its YOU who prefers it😂😂😂"
96,"@3DIian lol
I can’t remember ever having it as a kid (maybe I did 🤷🏻‍♀️). I just had some now and 😬.

Hey, more for you and all you who love it 😅. I’m good with that!"
97,@myalyn8 Theyre transition TO love their self and be happy with themselves. no one enjoys to see them suffer other then people like you who are for some reason filled with hate. It’s worse being trapped as someone they don’t wanna be I don’t see why it bothers you sm
98,@MeghanMcCain @DailyMail When a person. Shows you who they are.....believe them....
99,"after 4 weeks of being asked “what social identities make you who you are” in this pluralism class, i was the first person to finally bring up fatphobia in discussion. it is a massive part of my life and, frankly, all of our lives and i wish we could talk ab it more openly."
100,"once it's gone, it's gone and you'll never get that back. Just think of all the people who are around you, who love you, who look after you.

How would they feel if they knew you were gone?."
101,"✨ Stolen Kiss

vyisu would kiss you around the corner... 😏
And you, who would do it?

➡️ https://t.co/v8l36FDJw3 https://t.co/oEk1vT40Jd"
102,"When someone shows you who they are, listen. https://t.co/Ldrz04gUrV"
103,"When these sad memories transcend time and space, and become permanently engraved, you, who have accepted them all without hesitation, are my angel of light"
104,@BenopaOnyx1 @UncleWizbid Me den you who no dey like dey take pics? 😂
105,"ㅤ

   ▬▬▬▬▬ ❛ ᴜᴘɢʀᴀᴅᴇᴅ ᴏʀɪɢɪɴᴀʟ ᴠᴀᴍᴘɪʀᴇ⠅
         ㅤ     / “Whiskey tells you who’s real and who isn’t.” /

ㅤㅤㅤ━━━━━   ₁Vampires consumed by their own bloodlust, possess little to no control, usually mass murderers
         
        :･ﾟRT ↻ ♥ https://t.co/0DBnUaToGK"
106,"It’s not the slippery road, it’s you who don’t get a good grip."
107,@monicabridget21 THE GREATIST GUITAR/ROCK AND BLUE PLAYER OF ALL TIMES. f- YOU WHO DON'T AGRRE WITH HIM.  WAS IN BED FOR A WEEK AFTER MY 2ND DOSE.
108,"HE WOULD HAVE BEEN WITH YOU WHO WAS WORSHIPPED IN JERUSALEM.,THOSE CAPTIVES WHO NEEDS HELP TO RETURN, THEIR NEIGHBORS SHOULD BE GIVEN MONEY,GOLD, PROPERTY,AND ANIMALS FOR THE SACRIFICES TO THE LORD GOD IN THE TEMPLE OF JERUSALEM.,THEN THE LEADERS OF THE HOUSE OF JUDAH AND BENJAMI"
109,Lemme remind you who put you on. 👌🏽 https://t.co/yKb8PWlvhX
110,"@DineshDSouza Yet you, who are even more corrupt, walk free.

That’s sad."
111,That's you who can't keep a ole lady cause you keep fucking them friends huh
112,"GO BACK TO JERUSALEM AND BUILD AGAIN HIS TEMPLE OF THE LORD GOD OF ISRAEL.,HE WOULD HAVE BEEN WITH YOU WHO WAS WORSHIPPED IN JERUSALEM.,THOSE CAPTIVES WHO NEEDS HELP TO RETURN, THEIR NEIGHBORS SHOULD BE GIVEN MONEY,GOLD, PROPERTY,AND ANIMALS FOR THE SACRIFICES TO THE LORD GOD IN"
113,"@asfan91 With ""fans"" like you, who needs rivals?"
114,@IpseDixitCicero I love it because there are people like you who are willing to admit they didn't have all the information. It keeps me coming back. 💚🕊️
115,@6habio I'm simply repeating the essence of what the majority of the Uygur and rest of the Chinese population have to say about the situation. You are saying something different from that. It's you who is speaking over them.
116,@ONeillR12 @tdgarden @NHLBruinsSTH @NHLBruins @celtics By joke You referring to yourself RO ? By real fans you mean big and tough unlike you who is afraid of a 💉.
117,"@AlfDaMvp Appreciate you, who to get on it is a different issue lol 🤔"
118,"The seats… in my life… how should I put this? I don’t want my heart to be affected by people who don’t have a place there. Does that sound cold? Well, I guess there are also guys like you who bring their own chair and take a seat."
119,"@HollyRorie @RealCandaceO You should stay out of this, Holly. It's people like you who messed Donald Trump up. I wonder if Donald consulted @Mike_pence. Sure, probably...Bad news."
120,"@DanielAndrewsMP there are other ways Dan.  Plandemic i more or less say, and its you who have made them angry, not a bloody virus that has now killed less people in this country since the vaccine roll-out, and there are more deaths from your safe and effective jab, there are other ways."
121,"@Gillstolemyride @JoshiBallVids @AtmosphereC22 @RathFGC @MrMidLife1 @geos9104 But I can see discords being really good if you can find a group of people like you who want to play sets often as you can have a consistent idea of how you're improving

It's like how arcades were but with more people / info. Probably too much at times though"
122,"@Mitchie02435305 @MeidasTouch @IAmPoliticsGirl Fairly evident it’s you who is being defensive and cannot handle feedback. It isn’t meant for you, so no need to defend."
123,"@Dr_Hb7 @palliddh @drogon_dracarys @MattBinder Israel doesn't bomb civilians. It bombs Hamas and Jihadi targets and gives warning to avoid civilians. It's people like you who expect Israel not to attack Hamas and therefore endanger its own civilians, or have 100% success avoiding civilians. That's a unique standard ."
124,You’ll be just fine. There are many more just like you who will keep you company while you succumb to your fears &amp; paranoia rather than exercising critical thinking &amp; reasoned analytical process.  Justin has 32% of population who think just like you do.   Misery loves company. 😉 https://t.co/gTkhnlUwXN
125,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year catseungmo 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/wM55mZdmE4 https://t.co/xXst6qnXbr"
126,"The scent of fresh rain, and the scent of you, who is alive."
127,"I would like to hear your philosophy on loneliness. I won’t let you say you have none. You, who have stayed on this hill while watching the times flow by....
 
You must have some sort of fetishism around loneliness."
128,"@thebrittanyxoxo My dearest Brittany,
You are a beautiful person. With flaws (not many in my eyes but nobody's perfect) and issues but this makes you who you are. Your beautiful family makes you who you are. Thank you for sharing your life, that stunning body and your #milesofsmiles here with us"
129,"""It's you who should be disappointed in me, mr C."""
130,"Hey ⁦@JimPatterson559⁩ you know what I am afraid of?  Politicians like you who are paid by LE to peddle false fear while our state is reeling from COVID-19, drought and lack of affordable housing.  As it stands, you will never have my vote. https://t.co/BySdRmBry5"
131,@TimmyFallopian @luvadergolder @lose_mrs @CMoltzahn @DrAndrewSK @jkenney These triage protocols also apply to you Tim. Funny how you try to equate triage protocols as being the same as vaccine mandates. Once again you fail horribly. Try harder Tim it’s only you who looks like the fool that you are!😂😂
132,"you, whos stronger than anyone... you, who were once closer to me than anyone... you, who i once admired... you, the strongest of all, who im going to beat here."
133,"@defjam ""I just told you who i think i am, a god"" 😂🔥"
134,I love you for you who are. As I know you love me. What a lovely pair we make. May love always triumph over ignorance.
135,"Ngl, this one hurt me to my core. If it wasn't for you who knows where my life would've went.
R.I.P. 🕊💝"
136,But it’s you who I want…
137,"@EmoSeal Was it you who made the Finchy doll? It’s boss that, you’re really talented 👍"
138,It is I who feels privileged and humbled to be allowed to address amazing people like you who want to make a difference out there. https://t.co/y8iq3nx92B
139,@patches4dnf SAYS YOU WHO HAS A PISS KINK ??? /lh
140,@joonscup But that’s the definition of presumably black people like you who are soo removed from their black ness that they participate in micro aggression like in this case discrediting black culture for some type of benefit they don’t even up getting a coon
141,"@ShelettaIsFunny @ShelettaIsFunny, we know you who cooking at the headquarters , so please excuse yourself from the invite 

(respectfully) 

Little divorce leaving  Tito’s for @grayduckspirits   I see you, maybe they should come down here to Texassssssss🤣🤣🤣 https://t.co/O0qJ0Llj3E"
142,"O You who have believed, Bow and Prostrate(Sujood) &amp; worship your Lord and do Good - that you may succeed! 

Surat ul Hajj | Verse: 77"
143,"Time will show you, who deserves your heart."
144,"@seraph76 @flightofsand Oh, you need to cry! So horrifying!

Actually, I find your attitude offensive, intolerant, hateful and utterly false. It is pseudointellectual nonsense makers like you who create antagonism and conflicts. Not me,my Asian girlfriend or this book."
145,This Thug officer is showing you who he is. Now do something about. Fire him quick. https://t.co/D2m9jNdBot
146,"In case you don’t see where the world is heading, let me tell you… find a niche, join a community of people as passionate as you who also want to learn hands on instead of going to uni and build the future with those anons! Bypass the boomers. #Bitcoin #btc #eth #Avalanche"
147,"✨ Stolen Kiss

lixpetistt would kiss you around the corner... 😏
And you, who would do it?

➡️ https://t.co/vWFMGOgo6r https://t.co/8V1I6WqQdm"
148,"@RSBNetwork You Sir, are part of the problem. You and those who like you who refuse to listen. You might feel that I’m a leftist; but, nothing could be further from the truth. It sad  to see the Republican Party go down the fascist rabbit hole. The party mirrors what it claims to resist."
149,"When someone shows you who they are, believe them, and remember it. https://t.co/8xdCEsk4eC"
150,"@Rma13Fiona Absolutely! For me, supporting the club has always been an escape and I thoroughly love it. Just need to get used to this shower of shit opinions that comes with every draw/defeat though😅Thankfully, there are many (like you), who can balance it out the other way. So, all good."
151,@SubstanceD3 It was you who enlightened me about coffee right?
152,I find it difficult to understand how Democrats seem surprised at MM . When someone shows you who they are believe them https://t.co/Fp9yONgXYf
153,@dalee1203 What's wrong with Maine ? When someone shows you who they are believe them !  (Maya Angelou)
154,"@DungeonMasterSc It's actually quite good, but an annotated version that tells you who all those obscure historical figures are is essential."
155,"To be a Duterte supporter 👊🏻 and Marcos loyalist ❤️ is okay.

To be an Aquino🎗️, Mama Leni 🍲, Manny 🥊, Isko 👆🏻 and Ping 👮🏻‍♂️ supporter is fine too.

You know what's not okay? To be a pa-woke where you need to cancel the people around you who do not support your political stance."
156,"@lindyli @MayoIsSpicyy She's a Republican. 

When someone shows you who they are, believe them the first time.

-Maya Angelou"
157,"You’re a pretty bad person for saying this. You see, by calling her a “MAGA Brownshirt” you’re not merely slandering her, who can’t defend herself, but everyone who supported Trump in 2020. It is precisely people like you who are sowing hatred and division in America. https://t.co/6GEbJNHvA3"
158,"(Jsyk: You /do/ have to understand it if you're trying to represent it in media. Or you have to have somebody with you, every step of the way, helping you, who does.

But to accept us and accommodate who we are, aside from that? You don't have to understand. Just do it anyway.)"
159,"Fufu... Amazing as always, Kasumi. That's exactly the kind of thing that makes you who you are!"
160,"@MarkKnochel @Chefvano @chron We're not dumb, buddy. We get it. It's you who doesn't get the Texas law contains those blue-leaning cities. Or you're just not listening. Or it's not as big of deal to you 🤷🏻‍♀️"
161,@DanJone29920452 You have to push diversity because of people like you who say immigrants should be white only. And I didn't see Biden cheering being a minority. He was stating facts.
162,@seamusing Context my friend. Those events happened so in the context of the game they meant something. If I asked you who missed for Wolves you could tell me 🤷🏻‍♂️
163,@Sharmarkei It’s me and you who should volunteers to rebuild our country. Inshallah very soon everything will turn into good.
164,"I used to think this place was all about pandering to your baser instincts. Now I understand. It doesn't cater to your lowest self, it reveals your deepest self. It shows you who you really are."
165,@Fogarichi I understand. My son just became a driver too; in just his 1st week he saw the same things! ...But thank you for all you have done! There are lots of real Americans that appreciate those like you who have done so much during these times of craziness! God bless you &amp; family!
166,"@RobertShippey This article in the @guardian last month actually covered the rise of young people taking up smoking during lockdown. Unfortunate news for those of us, like you, who thought this cancerous drug was on the way out
https://t.co/PYEEOKyPs6"
167,"@Facts_chek @ANI 😂😂😂 tumlogo ki itni jalti hai. Yes they are United States people, not people like you who are hired for 100 rup per day by Congress govt to stand and 🤮"
168,"@grInxtdoor gotta remind you who you truly belong to, haven’t i?"
169,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year kookfluffly 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/QoDXDUkV7R https://t.co/eLFrs1zqbt"
170,@foden4prez @JKCorden typical people like you who can't stand to be a second without pigeonholeing and bothering someone for their musical tastes
171,There’s nothing but you who can let them in.
172,"Night has end for another  day, morning  has come in a special way.  May your smile like the sunny rays. 
It is you who makes our morning wonderful and our life amazing. Good morning and have a nice day,  @Saint_sup! 😘💕

NiceDay Saint
#อรุณสวัสดิ์เซ้นต์ซุป 
#Saint_sup #MingEr https://t.co/4k6TJC8QiC"
173,I’m certainly in… are you? Who wants to compete with the 🐳?? https://t.co/FSfdArOnpB https://t.co/n4IZzztjft
174,"@DecTime2SpeakUp @GeorgeFoulkes @LesleyRiddoch @NicolaSturgeon If this did indeed happen then i bet he was brilliant . If no one got  second chances , three etc.what would yous unionist's do ? The uda , uvf and on and on ! It's Yahoo's like you who do Scotland down not our English neighbors !"
175,"⠀⠀
⠀⠀⠀⠀Family are not just people who coddle you, who grant you your every whim. They are people who fight for you, who you fight for.
⠀⠀"
176,"86. his brother's shoulders, throwing a wink at Taehyung who chuckled. 

Jungkook smirked and playfully pinched his brother on the arm. 

""Atleast I have a boyfriend unlike you who is still crushing helplessly~"" Jungkook teased him and dodged the playful slap he was about to-"
177,"The most dangerous people are not dangerous people ,it's the people trying to prove that they dangerous people. People like you who want acceptance but ain't really evil. 

Stay strong be different!!!"
178,"""[…] But because you decided to run and hide here, they have known a hunger that they never needed to feel, suffered pain that could have been avoided. Yes, we did imbue them with their Atma, but you need to realize that it's you who's been the root cause of all of this."""
179,"@xBallisLife31x @Gerbalyn Lol my opinion sucks ? Why Bc you couldn’t have an intelligent debate? 
Bc you couldn’t back up your statement of facts. Bc it’s ppl like you Who think they know everything. But in fact I don’t know shit abt anything. Ugly ppl really do be miserable"
180,@10kTakes_ Zimmer drafted and made you who you are now! The offensive coordinators coached Rudy!
181,@Cryptic_Miind Haha! Nice try but everyone with a functioning brain here knows he clearly knows  his subject unlike you trying to score points by twisting facts. Cryptic mind alright...It's you who is every bit fake
182,"@mileslunn @bachausProtonm1 @NoGunsInCanada I always do learn from them.

Unlike you who have nothing of importance to offer."
183,"@TeslaAIBot @Sangram2sahu Humans is known among people, he forgets everything, you who are a robot, why did you forget ??😉🙃 https://t.co/MEs6Bbt2hh"
184,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year holaescam 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/F5kgKEWfaM https://t.co/jeX8Nwn5iU"
185,"i want you, who doesn’t care about any stares"
186,what if social media disappeared? would you truly know how to be yourself without the world telling you who you think you should be
187,"@miragenos @pomegrana_te Like, bro, I want you to be the better version of you, who is still whatever type of anarchist you are but doesn’t sound so corny about it."
188,"@XxcrayzeezxX @Fredderikkk @pastajoe5 @WGRZ They are also short staffed because of a global pandemic and scared boys like you who are rushing to the hospital once your tough guy attitude goes away, and you beg for your life."
189,@zealprecious1 @OgbeniDipo Nigerians go reply you who be your mate do you no my age
190,"You brood of vipers, how can you who are evil say anything good? ...I am not concerned that I am not known, I seek to be worthy to be known."
191,"#Quran 

O you #people ! You #recite this #Verse O you who believe! Take care of yr ownselves. If yu follow the (right) guidance [&amp; enjoin what is right ( #Islamic #Monotheism ) &amp; forbid what is wrong (polytheism] no hurt can come to you from those who are in error
 5:105
#Allah"
